ship_id,eez,t_entry_s,t_detect_s,sat_id,detect_latency_s,t_downlink_s,delivery_latency_s
Ship1,EEZ_West,31330.037,33210.034,8,1879.9969999999994,33280.171,70.13700000000244
Ship3,EEZ_West,56618.267,57691.394,10,1073.1270000000004,57769.81,78.41599999999744
Ship2,EEZ_East,52422.623,53939.598,12,1516.9749999999985,54028.255,88.65699999999924
