ship_id,eez,t_entry_s,t_detect_s,sat_id,detect_latency_s,t_downlink_s,delivery_latency_s
Ship1,EEZ_West,31330.037,34302.387,6,2972.350000000002,34613.42,311.0329999999958
Ship3,EEZ_West,56618.267,57249.104,2,630.8369999999995,57314.495,65.39100000000326
Ship2,EEZ_East,52422.623,53944.722,5,1522.099000000002,54112.848,168.12599999999657
