"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
8,1 Jan 2026 22:57:52.729,1 Jan 2026 23:03:56.883,364.154

Statistics
"Min Duration",1,1 Jan 2026 00:47:07.555,1 Jan 2026 00:51:30.559,263.005
"Max Duration",6,1 Jan 2026 19:32:14.139,1 Jan 2026 19:45:02.782,768.644
"Mean Duration",,,,569.969
"Total Duration",,,,4559.750


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 01:20:35.048,1 Jan 2026 01:32:58.256,743.208
2,1 Jan 2026 03:01:01.667,1 Jan 2026 03:13:03.167,721.500
3,1 Jan 2026 04:44:31.252,1 Jan 2026 04:52:16.194,464.942
4,1 Jan 2026 06:28:41.497,1 Jan 2026 06:32:47.883,246.386
5,1 Jan 2026 08:08:32.238,1 Jan 2026 08:17:22.425,530.187
6,1 Jan 2026 09:47:49.703,1 Jan 2026 10:00:18.166,748.463
7,1 Jan 2026 11:28:16.931,1 Jan 2026 11:40:02.387,705.455
8,1 Jan 2026 23:37:15.573,1 Jan 2026 23:43:58.649,403.076

Statistics
"Min Duration",4,1 Jan 2026 06:28:41.497,1 Jan 2026 06:32:47.883,246.386
"Max Duration",6,1 Jan 2026 09:47:49.703,1 Jan 2026 10:00:18.166,748.463
"Mean Duration",,,,570.402
"Total Duration",,,,4563.218


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:47:55.974,1 Jan 2026 00:59:06.161,670.187
2,1 Jan 2026 02:27:10.913,1 Jan 2026 02:39:51.206,760.293
3,1 Jan 2026 04:09:43.760,1 Jan 2026 04:19:13.071,569.312
4,1 Jan 2026 05:54:21.803,1 Jan 2026 05:58:46.860,265.057
5,1 Jan 2026 07:35:28.149,1 Jan 2026 07:42:29.849,421.700
6,1 Jan 2026 09:14:40.171,1 Jan 2026 09:26:19.294,699.123
7,1 Jan 2026 10:54:33.576,1 Jan 2026 11:07:11.765,758.189
8,1 Jan 2026 12:37:41.953,1 Jan 2026 12:43:29.479,347.526

Statistics
"Min Duration",4,1 Jan 2026 05:54:21.803,1 Jan 2026 05:58:46.860,265.057
"Max Duration",2,1 Jan 2026 02:27:10.913,1 Jan 2026 02:39:51.206,760.293
"Mean Duration",,,,561.423
"Total Duration",,,,4491.386


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:15:57.578,1 Jan 2026 00:24:38.520,520.942
2,1 Jan 2026 01:53:41.493,1 Jan 2026 02:06:30.925,769.432
3,1 Jan 2026 03:35:12.985,1 Jan 2026 03:46:09.648,656.663
4,1 Jan 2026 05:19:28.973,1 Jan 2026 05:25:23.741,354.768
5,1 Jan 2026 07:02:16.471,1 Jan 2026 07:07:31.496,315.025
6,1 Jan 2026 08:41:35.162,1 Jan 2026 08:52:00.191,625.029
7,1 Jan 2026 10:21:06.352,1 Jan 2026 10:33:56.032,769.680
8,1 Jan 2026 12:02:27.520,1 Jan 2026 12:12:19.521,592.002

Statistics
"Min Duration",5,1 Jan 2026 07:02:16.471,1 Jan 2026 07:07:31.496,315.025
"Max Duration",7,1 Jan 2026 10:21:06.352,1 Jan 2026 10:33:56.032,769.680
"Mean Duration",,,,575.443
"Total Duration",,,,4603.541


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 05:58:29.105,1 Jan 2026 06:05:40.042,430.937
2,1 Jan 2026 07:35:27.199,1 Jan 2026 07:48:11.598,764.399
3,1 Jan 2026 09:16:35.516,1 Jan 2026 09:27:58.533,683.017
4,1 Jan 2026 11:00:36.448,1 Jan 2026 11:07:10.636,394.188
5,1 Jan 2026 12:43:58.535,1 Jan 2026 12:48:40.998,282.463
6,1 Jan 2026 14:23:24.644,1 Jan 2026 14:33:17.193,592.549
7,1 Jan 2026 16:02:49.810,1 Jan 2026 16:15:35.246,765.436
8,1 Jan 2026 17:43:47.889,1 Jan 2026 17:54:30.450,642.561

Statistics
"Min Duration",5,1 Jan 2026 12:43:58.535,1 Jan 2026 12:48:40.998,282.463
"Max Duration",7,1 Jan 2026 16:02:49.810,1 Jan 2026 16:15:35.246,765.436
"Mean Duration",,,,569.444
"Total Duration",,,,4555.550


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 07:02:29.972,1 Jan 2026 07:14:32.964,722.991
2,1 Jan 2026 08:42:31.604,1 Jan 2026 08:54:50.376,738.772
3,1 Jan 2026 10:25:41.297,1 Jan 2026 10:34:05.545,504.249
4,1 Jan 2026 12:10:08.956,1 Jan 2026 12:14:10.455,241.500
5,1 Jan 2026 13:50:21.810,1 Jan 2026 13:58:33.405,491.595
6,1 Jan 2026 15:29:36.121,1 Jan 2026 15:41:49.664,733.543
7,1 Jan 2026 17:09:49.237,1 Jan 2026 17:21:59.501,730.264

Statistics
"Min Duration",4,1 Jan 2026 12:10:08.956,1 Jan 2026 12:14:10.455,241.500
"Max Duration",2,1 Jan 2026 08:42:31.604,1 Jan 2026 08:54:50.376,738.772
"Mean Duration",,,,594.702
"Total Duration",,,,4162.914


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 06:30:03.236,1 Jan 2026 06:40:30.768,627.532
2,1 Jan 2026 08:08:48.522,1 Jan 2026 08:21:35.783,767.261
3,1 Jan 2026 09:50:59.396,1 Jan 2026 10:01:02.746,603.350
4,1 Jan 2026 11:35:33.716,1 Jan 2026 11:40:25.981,292.266
5,1 Jan 2026 13:17:16.067,1 Jan 2026 13:23:37.239,381.171
6,1 Jan 2026 14:56:28.557,1 Jan 2026 15:07:43.340,674.783
7,1 Jan 2026 16:36:12.653,1 Jan 2026 16:48:59.213,766.560
8,1 Jan 2026 18:18:29.992,1 Jan 2026 18:26:13.527,463.534

Statistics
"Min Duration",4,1 Jan 2026 11:35:33.716,1 Jan 2026 11:40:25.981,292.266
"Max Duration",2,1 Jan 2026 08:08:48.522,1 Jan 2026 08:21:35.783,767.261
"Mean Duration",,,,572.057
"Total Duration",,,,4576.457


"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,1 Jan 2026 00:40:10.673,1 Jan 2026 00:47:29.572,438.899
2,1 Jan 2026 12:44:29.376,1 Jan 2026 12:56:05.249,695.873
3,1 Jan 2026 14:24:04.997,1 Jan 2026 14:36:37.462,752.466
4,1 Jan 2026 16:06:53.967,1 Jan 2026 16:15:56.069,542.102
5,1 Jan 2026 17:51:30.631,1 Jan 2026 17:55:40.873,250.242
6,1 Jan 2026 19:32:12.067,1 Jan 2026 19:39:43.904,451.837
7,1 Jan 2026 21:11:24.564,1 Jan 2026 21:23:19.704,715.140
8,1 Jan 2026 22:51:25.786,1 Jan 2026 23:03:54.209,748.423

Statistics
"Min Duration",5,1 Jan 2026 17:51:30.631,1 Jan 2026 17:55:40.873,250.242
"Max Duration",3,1 Jan 2026 14:24:04.997,1 Jan 2026 14:36:37.462,752.466
